time_ms,w,x,y,z
0,1.0,0.0,0.0,0.0
4,0.9999999999855889,-2.4128630798864643e-06,3.543346053474615e-06,3.231903213733048e-06
18,0.9999999998642197,1.9702812973112302e-06,1.273804696560454e-05,1.0267470436531495e-05
22,0.999999999801394,3.222608262198772e-06,1.5365104368773297e-05,1.2277632499946327e-05
36,0.9999999997291869,-4.1534065008332265e-06,1.8145592853412382e-05,1.3968288532578385e-05
40,0.9999999996966183,-6.260839290242324e-06,1.8940018134529114e-05,1.4451333113168456e-05
54,0.9999999996858241,-1.8981923042218113e-05,1.316827558281966e-05,9.728059054896997e-06
58,0.9999999996428005,-2.261651839928832e-05,1.1519206281750424e-05,8.3785521806717e-06
72,0.9999999997198165,-2.1440490290555356e-05,1.0023564347643436e-05,4.4797889256025117e-07
76,0.9999999997296042,-2.1104482259223437e-05,9.596238080628921e-06,-1.8178991897858468e-06
89,0.9999999994603962,-2.596828500197601e-05,2.011949955010901e-05,-2.482932731115268e-07
94,0.9999999993204128,-2.7838978363663183e-05,2.4166907806946825e-05,3.554013102455316e-07
107,0.9999999993284743,-2.7739472930792567e-05,2.3770982329083512e-05,2.9178479443932813e-06
112,0.999999999329782,-2.770120161040795e-05,2.3618703299093323e-05,3.903404342138127e-06
125,0.9999999990504952,-3.5543092967444895e-05,2.520789369177413e-05,5.100472176485534e-07
130,0.9999999989229643,-3.85592050271612e-05,2.581912076538169e-05,-7.950901379486178e-07
143,0.9999999992378371,-3.2503737020033515e-05,2.1452631999410458e-05,2.7600150740618644e-06
148,0.9999999993407359,-3.017471086283156e-05,1.9773213242860797e-05,4.127363232490462e-06
161,0.9999999993978006,-2.7097314488696723e-05,2.1362528413144312e-05,3.7117238974595566e-06
166,0.9999999994165083,-2.591370049855502e-05,2.1973803478569808e-05,3.551862614743059e-06
179,0.9999999993336248,-2.7799493367437893e-05,2.2570547984973346e-05,7.106981777693297e-06
183,0.9999999993047922,-2.837973732700304e-05,2.2754161679176658e-05,8.200864597041665e-06
197,0.9999999991365767,-2.5065663503269262e-05,3.194887625978767e-05,8.82204790599218e-06
201,0.9999999990708986,-2.4118785267461284e-05,3.4575937568009415e-05,8.999528851253805e-06
215,0.9999999991168239,-3.790900308374457e-05,1.8113950856549355e-05,1.0698091325103043e-06
219,0.9999999990336919,-4.184906531363553e-05,1.341052607972568e-05,-1.1958250731296833e-06
233,0.999999998969106,-4.2810976559912415e-05,1.5122123247368007e-05,-5.743641389938642e-07
237,0.9999999989498738,-4.308580834452977e-05,1.5611151009540064e-05,-3.968038720973531e-07
251,0.9999999990345836,-3.7633649293448004e-05,2.266777035916202e-05,-8.446874418331806e-07
255,0.9999999990441435,-3.6075889563997424e-05,2.468394731588954e-05,-9.726541760326097e-07
268,0.9999999984825085,-4.39176230079272e-05,3.3221955019793925e-05,1.5896693905990193e-06
273,0.9999999982289625,-4.6933674330927604e-05,3.650580413549906e-05,2.5751784546481707e-06
286,0.9999999971559516,-5.973887170991575e-05,4.6036221274138726e-05,1.7435622899336764e-07
291,0.9999999966738736,-6.466394762094866e-05,4.970176632440325e-05,-7.490369347662841e-07
304,0.9999999963647297,-6.654968644857602e-05,5.3276560666022984e-05,1.8132636531986934e-06
309,0.9999999962397305,-6.727497061264461e-05,5.4651481566325556e-05,2.798763879331217e-06
322,0.9999999961897478,-6.916102104804568e-05,5.3262595028548134e-05,-5.945379347968065e-07
327,0.999999996165997,-6.988642506135017e-05,5.272840789839135e-05,-1.8996540171541985e-06
340,0.9999999959990814,-7.177205299406738e-05,5.332538838359414e-05,2.6481535783159038e-06
345,0.9999999959283343,-7.249729450618342e-05,5.355499626216988e-05,4.397310345793172e-06
358,0.9999999951651078,-8.430930150069467e-05,4.918886888881346e-05,1.1923977912471076e-05
362,0.9999999948869668,-8.794376518778078e-05,4.784544507945326e-05,1.4239875624853926e-05
376,0.9999999942930041,-9.211253449659931e-05,5.062640090339893e-05,1.9137407315964882e-05
380,0.9999999941142825,-9.330361144115432e-05,5.142095970978997e-05,2.053670208469166e-05
394,0.999999993035297,-9.747227062971066e-05,5.954738485267577e-05,2.9709791341879127e-05
398,0.9999999926962387,-9.8663316109186e-05,6.186922060601288e-05,3.233067398594268e-05
412,0.9999999930328254,-9.641874110823085e-05,6.358008072793409e-05,2.4399772704439287e-05
416,0.9999999931159772,-9.577743396383889e-05,6.406889790480362e-05,2.213380090938187e-05
